clean_tweet,sentiment,
"film deadpool and wolverine benar-benar keren, ",Positive,
"saya sangat menikmati film deadpool and wolverine tadi malam, ",Positive,
"film deadpool and wolverine adalah yang terbaik tahun ini, ",Positive,
"tidak sabar untuk menonton film deadpool and wolverine, ",Positive,
"deadpool and wolverine mengecewakan tidak sesuai harapan,  ",Negative,
"adegan aksi di film deadpool and wolverine sangat mengagumkan, ",Positive,
"menurut saya cerita film deadpool and wolverine agak membosankan,  ",Negative,
"film deadpool and wolverine luar biasa saya tidak bisa berhenti tertawa, ",Positive,
"kenapa film deadpool and wolverine tidak sebagus yang saya kira,  ",Negative,
"soundtrack film deadpool and wolverine benar-benar keren, ",Positive,
"film deadpool and wolverine adalah kombinasi sempurna dari aksi dan komedi, ",Positive,
"tidak ada yang spesial dari film deadpool and wolverine,  ",Negative,
"saya sangat merekomendasikan film deadpool and wolverine, ",Negative,
"deadpool and wolverine adalah film yang biasa saja,   ",Negative,
"film deadpool and wolverine terlalu banyak lelucon konyol,  ",Negative,
"aksi ryan reynolds dan hugh jackman di film deadpool and wolverine sangat keren, ",Positive,
"kenapa banyak yang suka film deadpool and wolverine saya tidak paham,  ",Negative,
"saya tidak akan menonton film deadpool and wolverine lagi,  ",Negative,
"film deadpool and wolverine sangat menghibur, ",Positive,
"saya suka chemistry antara deadpool dan wolverine di film ini, ",Positive,
"deadpool and wolverine adalah film yang layak ditonton, ",Positive,
"saya kecewa dengan film deadpool and wolverine,  ",Negative,
"film deadpool and wolverine terlalu overrated,  ",Negative,
"cerita film deadpool and wolverine sangat kuat, ",Positive,
"akting di film deadpool and wolverine sangat bagus, ",Positive,
"film deadpool and wolverine tidak seburuk yang saya kira,   ",Positive,
"deadpool and wolverine adalah film yang sempurna untuk penggemar marvel, ",Positive,
"saya pikir film deadpool and wolverine akan lebih baik,  ",Negative,
"film deadpool and wolverine benar-benar lucu, ",Positive,
"adegan perkelahian di film deadpool and wolverine sangat epik, ",Positive,
"saya tidak suka film deadpool and wolverine,  ",Negative,
"deadpool and wolverine adalah film yang mengecewakan,  ",Negative,
"film deadpool and wolverine adalah film aksi terbaik tahun ini, ",Positive,
"saya berharap lebih dari film deadpool and wolverine,  ",Negative,
"film deadpool and wolverine sangat mendebarkan, ",Negative,
"film deadpool and wolverine tidak begitu menarik bagi saya,  ",Negative,
"deadpool and wolverine adalah film yang menyenangkan, ",Positive,
"kenapa semua orang suka film deadpool and wolverine,  ",Negative,
"film deadpool and wolverine sangat menginspirasi, ",Positive,
"saya pikir film deadpool and wolverine terlalu panjang,  ",Negative,
"deadpool and wolverine adalah film yang harus ditonton, ",Positive,
"film deadpool and wolverine sangat tidak realistis,  ",Negative,
"adegan humor di film deadpool and wolverine sangat segar, ",Positive,
"saya tidak mengerti hype tentang film deadpool and wolverine,  ",Negative,
"deadpool and wolverine adalah film yang brilian, ",Negative,
"film deadpool and wolverine sangat membosankan,  ",Negative,
"film deadpool and wolverine adalah film yang sempurna untuk akhir pekan, ",Positive,
"saya merasa film deadpool and wolverine kurang memuaskan,  ",Negative,
"deadpool and wolverine adalah film yang mengesankan, ",Negative,
"film deadpool and wolverine terlalu banyak adegan klise,  ",Negative,
"film deadpool and wolverine adalah kombinasi yang hebat, ",Positive,
"saya tidak suka jalan cerita film deadpool and wolverine,  ",Negative,
"film deadpool and wolverine sangat mengejutkan, ",Negative,
"deadpool and wolverine adalah film yang terlalu banyak hype,  ",Negative,
"film deadpool and wolverine adalah favorit saya, ",Negative,
"film deadpool and wolverine sangat buruk,  ",Negative,
"film deadpool and wolverine sangat memikat, ",Positive,
"saya tidak bisa berhenti membicarakan film deadpool and wolverine, ",Positive,
"deadpool and wolverine adalah film yang mengagumkan, ",Positive,
"film deadpool and wolverine sangat membingungkan,  ",Negative,
"saya sangat merekomendasikan film deadpool and wolverine untuk semua orang, ",Positive,
"deadpool and wolverine adalah film yang luar biasa, ",Positive,
"film deadpool and wolverine sangat tidak menyenangkan,  ",Negative,
"film deadpool and wolverine sangat menghibur dan penuh aksi, ",Positive,
"saya pikir film deadpool and wolverine terlalu dilebih-lebihkan,  ",Negative,
"deadpool and wolverine adalah film yang sangat buruk,  ",Negative,
"film deadpool and wolverine sangat memuaskan, ",Positive,
"saya sangat suka film deadpool and wolverine, ",Positive,
"deadpool and wolverine adalah film yang membosankan,  ",Negative,
"film deadpool and wolverine sangat kreatif, ",Positive,
"film deadpool and wolverine sangat mengesankan dan menyenangkan, ",Positive,
"deadpool and wolverine adalah film yang sangat mengecewakan,  ",Negative,
"film deadpool and wolverine sangat bagus, ",Positive,
"film deadpool and wolverine sangat membosankan bagi saya,  ",Negative,
"deadpool and wolverine adalah film yang harus ditonton, ",Positive,
"film deadpool and wolverine sangat kocak, ",Positive,
"saya tidak begitu suka film deadpool and wolverine,  ",Negative,
"film deadpool and wolverine sangat menghibur dan penuh aksi, ",Positive,
"saya tidak percaya film deadpool and wolverine sangat buruk,  ",Negative,
"deadpool and wolverine adalah film yang sangat menarik, ",Positive,
